"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2010"	"2010"	59	115512	51.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2011"	"2011"	68	116323	58.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2012"	"2012"	52	115869	44.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2013"	"2013"	51	115969	44.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2014"	"2014"	54	115362	46.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2015"	"2015"	76	113181	67.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2016"	"2016"	61	110080	55.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2017"	"2017"	64	108135	59.2
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"			1285	2214406	58.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"1999"	"1999"	95	115112	82.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2000"	"2000"	83	114612	72.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2001"	"2001"	94	111146	84.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2002"	"2002"	88	110224	79.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2003"	"2003"	95	110466	86.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2004"	"2004"	101	110143	91.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2005"	"2005"	97	110468	87.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2006"	"2006"	122	109994	110.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2007"	"2007"	135	109545	123.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2008"	"2008"	131	109219	119.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2009"	"2009"	116	109155	106.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2010"	"2010"	124	108804	114.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	130	108996	119.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	147	108487	135.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2013"	"2013"	140	107729	130.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	124	107355	115.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2015"	"2015"	129	107412	120.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	160	107078	149.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	184	105368	174.6
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"25-34 years"	"25-34"			2295	2081313	110.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"1999"	"1999"	232	140381	165.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	205	138791	147.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	265	134862	196.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	242	131553	184.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	262	128649	203.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	229	126175	181.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2005"	"2005"	254	124150	204.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	245	123103	199.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2007"	"2007"	241	121987	197.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	229	120646	189.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	271	118602	228.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2010"	"2010"	245	117665	208.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	280	115926	241.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	269	115254	233.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	261	114953	227.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	282	114024	247.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	270	112875	239.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2016"	"2016"	287	110566	259.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"	"2017"	"2017"	304	108751	279.5
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"35-44 years"	"35-44"			4873	2318913	210.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"1999"	"1999"	420	132876	316.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2000"	"2000"	460	135739	338.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2001"	"2001"	457	140152	326.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2002"	"2002"	502	140775	356.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2003"	"2003"	499	141762	352.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2004"	"2004"	523	142422	367.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2005"	"2005"	595	142698	417.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2006"	"2006"	582	142755	407.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2007"	"2007"	593	142115	417.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2008"	"2008"	563	141278	398.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2009"	"2009"	630	140542	448.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2010"	"2010"	588	139643	421.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	654	136585	478.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	620	133128	465.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	613	129892	471.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	639	126612	504.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	634	124352	509.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2016"	"2016"	608	121893	498.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	598	119487	500.5
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"45-54 years"	"45-54"			10778	2574706	418.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"1999"	"1999"	892	94323	945.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2000"	"2000"	899	95027	946.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2001"	"2001"	901	96293	935.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2002"	"2002"	846	101275	835.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2003"	"2003"	961	105389	911.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2004"	"2004"	1005	109713	916.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2005"	"2005"	981	114060	860.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2006"	"2006"	970	118755	816.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2007"	"2007"	1010	122963	821.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2008"	"2008"	1120	126466	885.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2009"	"2009"	1103	130524	845.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2010"	"2010"	1098	134198	818.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	1157	138523	835.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	1226	138305	886.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2013"	"2013"	1178	138717	849.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2014"	"2014"	1224	138255	885.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2015"	"2015"	1325	137676	962.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2016"	"2016"	1317	136361	965.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"	"2017"	"2017"	1396	134627	1036.9
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"55-64 years"	"55-64"			20609	2311450	891.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"1999"	"1999"	1985	82901	2394.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2000"	"2000"	1908	82055	2325.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2001"	"2001"	1834	81052	2262.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2002"	"2002"	1798	80614	2230.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2003"	"2003"	1804	80431	2242.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2004"	"2004"	1720	80250	2143.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2005"	"2005"	1684	79977	2105.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2006"	"2006"	1705	80483	2118.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2007"	"2007"	1677	81605	2055.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2008"	"2008"	1722	83524	2061.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2009"	"2009"	1729	84995	2034.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2010"	"2010"	1724	85624	2013.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2011"	"2011"	1721	86891	1980.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2012"	"2012"	1755	91655	1914.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2013"	"2013"	1872	95078	1968.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2014"	"2014"	1893	98945	1913.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2015"	"2015"	1959	102249	1915.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2016"	"2016"	2017	105381	1914.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"	"2017"	"2017"	2111	108259	1950.0
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"65-74 years"	"65-74"			34618	1671969	2070.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"75-84 years"	"75-84"	"1999"	"1999"	3323	59111	5621.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"75-84 years"	"75-84"	"2000"	"2000"	3351	59398	5641.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"75-84 years"	"75-84"	"2001"	"2001"	3288	59598	5517.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"75-84 years"	"75-84"	"2002"	"2002"	3342	59816	5587.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"75-84 years"	"75-84"	"2003"	"2003"	3352	60091	5578.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"75-84 years"	"75-84"	"2004"	"2004"	3265	59900	5450.8
