"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2007"	"2007"	49	196598	24.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2008"	"2008"	37	197837	18.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2009"	"2009"	44	199594	22.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2010"	"2010"	35	200553	17.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2011"	"2011"	44	200395	22.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2012"	"2012"	51	200779	25.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2013"	"2013"	33	200693	16.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2014"	"2014"	47	200954	23.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2015"	"2015"	37	201233	18.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2016"	"2016"	48	199697	24.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2017"	"2017"	41	200524	20.4
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"			844	3697651	22.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"1999"	"1999"	70	480401	14.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2000"	"2000"	67	484876	13.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2001"	"2001"	70	486078	14.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2002"	"2002"	75	487847	15.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2003"	"2003"	62	487477	12.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2004"	"2004"	59	488844	12.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2005"	"2005"	69	487939	14.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2006"	"2006"	49	488249	10.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2007"	"2007"	68	489306	13.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2008"	"2008"	44	492334	8.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2009"	"2009"	40	497090	8.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2010"	"2010"	43	500922	8.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2011"	"2011"	63	503779	12.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2012"	"2012"	50	506909	9.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2013"	"2013"	63	510704	12.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2014"	"2014"	52	510629	10.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2015"	"2015"	67	509722	13.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2016"	"2016"	48	510731	9.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"	"2017"	"2017"	43	509523	8.4
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"5-14 years"	"5-14"			1102	9433360	11.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	168	459755	36.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2000"	"2000"	206	466888	44.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2001"	"2001"	201	482205	41.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2002"	"2002"	218	493126	44.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2003"	"2003"	221	503334	43.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2004"	"2004"	210	516441	40.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2005"	"2005"	218	526701	41.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2006"	"2006"	203	535606	37.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2007"	"2007"	204	541041	37.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2008"	"2008"	217	542753	40.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2009"	"2009"	186	546094	34.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2010"	"2010"	172	547513	31.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2011"	"2011"	211	548971	38.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2012"	"2012"	182	552700	32.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2013"	"2013"	180	554453	32.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2014"	"2014"	170	556019	30.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2015"	"2015"	182	553842	32.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2016"	"2016"	183	548161	33.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"	"2017"	"2017"	176	545621	32.3
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"15-24 years"	"15-24"			3708	10021224	37.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"1999"	"1999"	302	522405	57.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2000"	"2000"	307	515479	59.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2001"	"2001"	309	510047	60.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2002"	"2002"	305	507923	60.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2003"	"2003"	296	507432	58.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2004"	"2004"	300	508417	59.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2005"	"2005"	301	510170	59.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2006"	"2006"	267	511840	52.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2007"	"2007"	306	515726	59.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2008"	"2008"	313	524573	59.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2009"	"2009"	296	535689	55.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2010"	"2010"	306	544795	56.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	339	557492	60.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	284	567232	50.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2013"	"2013"	330	573715	57.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	326	579557	56.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2015"	"2015"	371	582640	63.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	432	580838	74.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	441	585364	75.3
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"25-34 years"	"25-34"			6131	10241334	59.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"1999"	"1999"	835	601916	138.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	861	606713	141.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	842	607785	138.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	834	605657	137.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	829	600889	138.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	806	598641	134.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2005"	"2005"	766	595787	128.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	778	592823	131.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2007"	"2007"	770	586192	131.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	728	577024	126.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	718	567107	126.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2010"	"2010"	688	560390	122.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	642	552557	116.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	662	550841	120.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	637	548349	116.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	686	548527	125.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	652	548401	118.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2016"	"2016"	710	547204	129.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"	"2017"	"2017"	714	550183	129.8
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"35-44 years"	"35-44"			14158	10946986	129.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"1999"	"1999"	1396	497248	280.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2000"	"2000"	1511	511480	295.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2001"	"2001"	1659	535234	310.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2002"	"2002"	1585	542463	292.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2003"	"2003"	1579	552182	286.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2004"	"2004"	1617	564968	286.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2005"	"2005"	1768	576532	306.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2006"	"2006"	1743	587400	296.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2007"	"2007"	1777	597258	297.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2008"	"2008"	1753	606224	289.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2009"	"2009"	1740	615470	282.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2010"	"2010"	1803	620228	290.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	1788	617373	289.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	1784	613961	290.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	1738	607271	286.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	1768	601127	294.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	1733	596147	290.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2016"	"2016"	1706	591909	288.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	1666	585525	284.5
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"45-54 years"	"45-54"			32114	11020000	291.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"1999"	"1999"	2453	317349	773.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2000"	"2000"	2533	325754	777.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2001"	"2001"	2503	339149	738.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2002"	"2002"	2601	363845	714.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2003"	"2003"	2674	383715	696.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2004"	"2004"	2705	403925	669.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2005"	"2005"	2953	421519	700.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2006"	"2006"	2844	437843	649.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2007"	"2007"	2900	452625	640.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2008"	"2008"	2966	465012	637.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2009"	"2009"	3043	481695	631.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2010"	"2010"	2967	496060	598.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	3184	517778	614.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	3159	523767	603.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2013"	"2013"	3269	532097	614.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2014"	"2014"	3459	541278	639.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2015"	"2015"	3508	551721	635.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2016"	"2016"	3649	560928	650.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"	"2017"	"2017"	3759	568692	661.0
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"55-64 years"	"55-64"			57129	8684752	657.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"1999"	"1999"	4886	238587	2047.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2000"	"2000"	4871	237662	2049.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2001"	"2001"	4662	238671	1953.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2002"	"2002"	4498	239639	1877.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2003"	"2003"	4584	242131	1893.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2004"	"2004"	4431	245105	1807.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2005"	"2005"	4424	249893	1770.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2006"	"2006"	4432	255363	1735.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2007"	"2007"	4275	262710	1627.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2008"	"2008"	4462	274963	1622.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2009"	"2009"	4562	286122	1594.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2010"	"2010"	4441	293349	1513.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2011"	"2011"	4631	305190	1517.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2012"	"2012"	4833	327611	1475.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2013"	"2013"	4982	345077	1443.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2014"	"2014"	5193	361838	1435.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2015"	"2015"	5338	377423	1414.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2016"	"2016"	5533	392283	1410.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"	"2017"	"2017"	5798	406157	1427.5
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"65-74 years"	"65-74"			90836	5579774	1628.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"75-84 years"	"75-84"	"1999"	"1999"	8391	165029	5084.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"75-84 years"	"75-84"	"2000"	"2000"	8532	167818	5084.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"75-84 years"	"75-84"	"2001"	"2001"	8572	171877	4987.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"75-84 years"	"75-84"	"2002"	"2002"	8695	174477	4983.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"75-84 years"	"75-84"	"2003"	"2003"	8734	176368	4952.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"75-84 years"	"75-84"	"2004"	"2004"	8491	177480	4784.2
